Hugo_Symbol,n
SH2B1,13
SIGLEC6,13
SIK3,13
SIM1,13
SLC1A6,13
SLC20A2,13
SLC8A1,13
SLC9A9,13
SLITRK4,13
SMC1B,13
SMC6,13
SP3,13
SPICE1,13
SPINK5,13
SPRTN,13
SPTBN5,13
STARD8,13
STON1-GTF2A1L,13
SULF1,13
SYCP1,13
SYCP2L,13
SYNJ1,13
SYNPO2,13
TCF20,13
TMEM214,13
TOX2,13
TPP1,13
TRDN,13
TRIM24,13
TRIM33,13
TRPC6,13
TSHZ1,13
TSPYL2,13
TTC3,13
TTC7A,13
TYRP1,13
UBR3,13
UGGT1,13
UGT1A6,13
USP31,13
USPL1,13
VIL1,13
VPS39,13
WBSCR17,13
WDR72,13
WWC1,13
XPO5,13
YEATS2,13
ZBED4,13
ZC3H7A,13
ZCCHC11,13
ZCCHC8,13
ZFYVE28,13
ZNF236,13
ZNF275,13
ZNF423,13
ZNF43,13
ZNF440,13
ZNF518A,13
ZNF541,13
ZNF546,13
ZNF658,13
ZNF805,13
AARS,12
ABCC11,12
ACPP,12
ACTB,12
ADAMTS1,12
ADD2,12
ADGB,12
ADNP2,12
AHI1,12
AKNA,12
ALDOA,12
ALS2,12
ALS2CR11,12
ANKAR,12
ANKFN1,12
ANKRD27,12
ANLN,12
ANO5,12
ARHGAP18,12
ARHGAP42,12
ARHGEF1,12
ARHGEF17,12
ARHGEF7,12
ARHGEF9,12
ASAP2,12
ATP1A3,12
ATXN7L1,12
BAAT,12
BAP1,12
BBX,12
BCL11A,12
BTK,12
C10ORF68,12
C1orf168,12
C7,12
C9orf43,12
CA11,12
CACNA1I,12
CACNB2,12
CAMTA1,12
CCPG1,12
CDH17,12
CDH4,12
CDK11B,12
CHRNB2,12
CNGB1,12
CNOT3,12
CNTNAP4,12
COL16A1,12
COL24A1,12
COL9A1,12
COLGALT2,12
CTAGE5,12
CTCFL,12
CTNND1,12
CUL3,12
CYP11B1,12
CYP24A1,12
CYP4A11,12
DAAM1,12
DAB2,12
DACH1,12
DAXX,12
DCAF12L1,12
DCBLD2,12
DDB1,12
DDX26B,12
DDX3X,12
DDX5,12
DDX60L,12
DENND1A,12
DHDDS,12
DHX29,12
DIEXF,12
DLGAP1,12
DNMT3A,12
DOK5,12
DRC11,12
DROSHA,12
DSEL,12
DSPP,12
ECE1,12
EIF2D,12
EIF5B,12
ELFN2,12
ELMO1,12
ENAM,12
EPB41L1,12
EPHA4,12
EPHB3,12
ERN1,12
ESRP1,12
ESYT3,12
F13A1,12
FAM160A1,12
FARP1,12
FBXL18,12
FBXW10,12
FILIP1,12
FMO2,12
FNDC3B,12
FRMPD2,12
GALNTL5,12
GBA3,12
GEMIN5,12
GLDC,12
GNPTAB,12
GOLGA1,12
GP6,12
GPR133,12
GPS2,12
GPSM2,12
GRHL2,12
GRK1,12
HCN4,12
HDAC4,12
HEATR6,12
HELZ2,12
HEPHL1,12
HERC4,12
HIP1,12
HSP90AB1,12
HSPA12A,12
HYOU1,12
IARS2,12
IL17RD,12
INPP4A,12
INTU,12
IQCG,12
ITK,12
KANSL1,12
KCNA5,12
KCNH5,12
KCNH8,12
KCNN3,12
KCTD3,12
KIAA0196,12
KIAA0319L,12
KIAA0556,12
KIAA1211,12
KIAA1755,12
KIF1A,12
KIF20B,12
KIF5B,12
KNTC1,12
KRIT1,12
LAMC3,12
LAMP2,12
LCA5L,12
LCMT2,12
LETM1,12
LGR5,12
LGR6,12
LHCGR,12
LIG3,12
LILRB5,12
LMTK2,12
LNX1,12
LPHN2,12
LPO,12
LRFN5,12
LRIG3,12
LRRC32,12
LRRIQ3,12
LSR,12
MAP10,12
MAPK4,12
MARS,12
MAST2,12
MAT2A,12
MATN2,12
MDGA1,12
MDM1,12
MEF2C,12
MEFV,12
MEIS2,12
MEN1,12
MGAT5B,12
MIS18BP1,12
MKRN3,12
MLLT10,12
MPO,12
MRPL45,12
MSN,12
MTHFD1L,12
MTMR4,12
MTSS1,12
MYB,12
MYBPC1,12
MYBPC2,12
MYO1A,12
NBPF10,12
NCOA2,12
NEK10,12
NFAT5,12
NLRP4,12
NLRP9,12
NOL8,12
NPAT,12
NR4A3,12
NRD1,12
NRP1,12
NSUN5,12
NUAK1,12
NUDCD1,12
NUP107,12
NUP210,12
NXF5,12
OFD1,12
OGDH,12
PABPC3,12
PAK7,12
PBDC1,12
PBXIP1,12
PCDH18,12
PCDHA5,12
PCDHB6,12
PCDHGA6,12
PCDHGB1,12
PCNXL3,12
PDE6C,12
PDS5A,12
PDS5B,12
PEX1,12
PGBD5,12
PHC3,12
PI4KB,12
PIK3C2A,12
PIWIL2,12
PIWIL3,12
PKP4,12
PLA2G4A,12
PLCXD2,12
PLXNC1,12
PMS1,12
POLA1,12
POLR2A,12
POM121,12
PPARGC1A,12
PPFIBP2,12
PPP1R12B,12
PPRC1,12
PRDM15,12
PRKCQ,12
PRKRIR,12
PSG1,12
PTPN23,12
PTPN3,12
PTPRJ,12
PTPRU,12
RAPGEF2,12
RARB,12
RASGRP4,12
RBL1,12
RECQL5,12
RFX3,12
RNF10,12
RNF123,12
RNF182,12
RPAP2,12
RPGRIP1L,12
RSPH4A,12
SART3,12
SCAF8,12
SDCCAG8,12
SEC24A,12
SEMA4D,12
SEMA4F,12
SENP7,12
SERPINE1,12
SEZ6L2,12
SGIP1,12
SH3BP4,12
SIGLEC8,12
SLC15A1,12
SLC26A4,12
SLC39A6,12
SLC5A7,12
SLC6A15,12
SLCO1A2,12
SLCO3A1,12
SLFN12L,12
SLITRK1,12
SLITRK6,12
SLMAP,12
SMAD4,12
SORCS3,12
SPAG5,12
SPIDR,12
SPRY3,12
SPTY2D1,12
SSH2,12
ST5,12
STAG3,12
STAT3,12
STK31,12
SUPT16H,12
SWT1,12
SYN1,12
SYT16,12
TBC1D25,12
TBL1XR1,12
TBX18,12
TCTN2,12
TDRD1,12
TDRD10,12
TF,12
TICRR,12
TIMELESS,12
TLR5,12
TMC3,12
TMC5,12
TMEM132E,12
TMTC1,12
TMTC4,12
TPM3,12
TRABD2A,12
TRAK2,12
TRIM42,12
TRPC1,12
TRPC3,12
TRPV2,12
TTC40,12
TTC7B,12
TTF2,12
TTLL4,12
TUBGCP5,12
TULP4,12
TXNIP,12
UACA,12
UBA6,12
UBN1,12
UBN2,12
USH1C,12
USP40,12
USP54,12
VAV3,12
VIT,12
VWA8,12
WDR11,12
WDR64,12
WDR76,12
WDR93,12
XDH,12
XPO4,12
XPO7,12
YME1L1,12
YTHDF1,12
ZCWPW1,12
ZFP91,12
ZHX2,12
ZNF180,12
ZNF425,12
ZNF451,12
ZNF469,12
ZNF544,12
ZNF611,12
ZNF638,12
ZNF695,12
ZNF780A,12
ZNF813,12
ZNF99,12
ABCB8,11
ACSL5,11
ACSS3,11
ACTN3,11
ADAM15,11
ADAMTS12,11
ADAMTS5,11
AFF4,11
AGO2,11
AGTPBP1,11
ALDH1A3,11
AMPH,11
ANGPT4,11
ANKLE2,11
ANKRD36BP2,11
ANKS6,11
ANPEP,11
AOAH,11
AP1G2,11
AR,11
ARHGAP12,11
ARHGAP26,11
ARHGAP32,11
ARHGEF4,11
ARMC4,11
ASIC3,11
ASMTL,11
ASPH,11
ATN1,11
ATP11B,11
ATP6V0A4,11
B4GALT5,11
BCAR3,11
BCAT1,11
BCHE,11
BCKDK,11
BEND2,11
BEST3,11
BMPR2,11
BNC1,11
C10orf2,11
C10orf71,11
C14orf37,11
C16orf96,11
C1orf65,11
C20orf194,11
C6,11
C9,11
CALD1,11
CAMSAP3,11
CAND2,11
CAPN3,11
CARS,11
CCDC148,11
CCDC171,11
CCDC39,11
CCDC50,11
CCDC82,11
CCDC87,11
CCDC88C,11
CCT3,11
CD109,11
CD4,11
CDC5L,11
CDH19,11
CDH6,11
CDHR1,11
CDHR2,11
CDK13,11
CDK18,11
CDKL3,11
CENPJ,11
CEP128,11
CEP89,11
CERS2,11
CFHR5,11
CHD1L,11
CHEK2,11
CHRD,11
CLASP1,11
CLCN6,11
CLIC5,11
CLIP2,11
CNTN3,11
COBLL1,11
COG3,11
COG7,11
COL20A1,11
COL2A1,11
CORIN,11
CPEB2,11
CPT1C,11
CR2,11
CRMP1,11
CSF2RA,11
CSPG4,11
CXorf57,11
CYP7B1,11
DAPK1,11
DCAF8L1,11
DCLK1,11
DDX31,11
DDX42,11
DIAPH1,11
DISP2,11
DLG3,11
DLGAP4,11
DNAJC10,11
DNM1,11
DNM2,11
DOT1L,11
DPY19L2P2,11
DSTYK,11
DTNB,11
DYTN,11
DZIP3,11
EFEMP1,11
EFR3B,11
EFTUD2,11
EGFL6,11
EHBP1,11
EIF2B5,11
ELF4,11
EMR4P,11
ENAH,11
ENPP7,11
EPHB6,11
EPS8,11
ERBB2IP,11
ERCC5,11
ERN2,11
ESCO1,11
EVC2,11
EXO1,11
FAM120A,11
FAM122C,11
FAM135A,11
FAM13A,11
FAM160A2,11
FAM193A,11
FAM71B,11
FAN1,11
FANCM,11
FBF1,11
FCN1,11
FGD4,11
FHAD1,11
FNDC3A,11
FOXO4,11
FOXP1,11
FOXP3,11
FRMD4A,11
GABRA4,11
GBP4,11
GDF9,11
GLB1L3,11
GPC6,11
GPR110,11
GPR128,11
GPR149,11
GRAMD1B,11
GSAP,11
GSPT2,11
GSTM5,11
HAS2,11
HAUS5,11
HERC2P3,11
HERC6,11
HLTF,11
HMGCS1,11
HMGN5,11
HNF4A,11
HNRNPA2B1,11
HPD,11
HPS3,11
HSPA5,11
HTR2A,11
IGFN1,11
IGSF3,11
IL13RA2,11
IL16,11
IL1RAPL2,11
IL1RL2,11
IL4R,11
IL5RA,11
IL6ST,11
INPP5D,11
INTS8,11
IPO9,11
ITIH5,11
IWS1,11
JADE3,11
KCNJ15,11
KDR,11
KHDRBS2,11
KIAA1033,11
KIAA1377,11
KIAA1524,11
KIF13B,11
KIF27,11
KIR3DL1,11
KIRREL2,11
KIRREL3,11
KLF11,11
KLHL4,11
KMO,11
KPNB1,11
KRT9,11
KSR1,11
KTN1,11
LATS1,11
LEPREL1,11
LHX9,11
LPIN2,11
LRCH1,11
LRCH3,11
LRRC8C,11
LRRTM1,11
LTN1,11
MAGEB6,11
MAGEE1,11
MAMDC2,11
MAMLD1,11
MAN2A1,11
MAN2B2,11
MAP4,11
MAP6,11
MAPKBP1,11
MBD6,11
MC3R,11
MCF2L,11
MCHR2,11
MDC1,11
MEGF11,11
MERTK,11
MGAT4A,11
MID1,11
MKL1,11
MORC4,11
MPP1,11
MROH8,11
MSH3,11
MSH5,11
MTHFD1,11
MTMR12,11
MTO1,11
MYO1E,11
MYO1H,11
NARS2,11
NCAM2,11
NEDD4,11
NEK11,11
NFATC4,11
NFE2L1,11
NFKB1,11
NFX1,11
NLRP8,11
NNT,11
NOL11,11
NOS2,11
NPC1L1,11
NR1H4,11
NTRK3,11
NUFIP2,11
OPCML,11
OR10J1,11
OR10R2,11
OR4N4,11
OR5H1,11
ORC1,11
ORC2,11
OSBPL8,11
OSBPL9,11
OTUD7B,11
PALB2,11
PAM,11
PAN2,11
PARD3,11
PARP15,11
PARP4,11
PASK,11
PCDH1,11
PCDHAC2,11
PCDHB17,11
PCDHB18,11
PCDHB3,11
PCSK6,11
PDIA5,11
PDXDC1,11
PEAR1,11
PER1,11
PGAP1,11
PHLDB1,11
PHRF1,11
PIK3C2G,11
PIK3CB,11
PIK3R4,11
PIP4K2C,11
PIP5K1A,11
PITPNM1,11
PITRM1,11
PKP2,11
PLA2G6,11
PLB1,11
PLCL1,11
PLCZ1,11
PLD1,11
PLEKHM1,11
PLIN4,11
PLP2,11
POTEA,11
POU4F2,11
PPIL2,11
PPM1E,11
PPP6R3,11
PQBP1,11
PRAMEF4,11
PRICKLE1,11
PRKAA1,11
PRKD1,11
PROS1,11
PSD2,11
PSG6,11
PSMD1,11
PTCD1,11
PTDSS1,11
PTGIS,11
PTK7,11
PTPRA,11
PTPRO,11
PYGM,11
PYHIN1,11
RAD54L2,11
RAG1,11
RAI2,11
RASA3,11
RASGRF2,11
RASGRP2,11
RBM25,11
RBM6,11
REM1,11
REV1,11
RFX7,11
RMND1,11
RNF20,11
RNF207,11
RNF219,11
RNF43,11
RPH3A,11
RPS6KA5,11
RPS6KA6,11
SCAF11,11
SCARB2,11
SCFD1,11
SCG3,11
SCUBE2,11
SDHAP2,11
SEC24D,11
SECISBP2L,11
SEL1L2,11
SEPT6,11
SGK2,11
SH3TC1,11
SIGLEC9,11
SIRPG,11
SLC12A6,11
SLC13A2,11
SLC15A2,11
SLC1A7,11
SLC22A6,11
SLC35F3,11
SLC46A1,11
SLC6A3,11
SLC9A7,11
SLCO4C1,11
SLFN13,11
SLIT3,11
SMC2,11
SMC4,11
SNAP91,11
SOBP,11
SORL1,11
SOX13,11
SP140,11
SPATA21,11
SRBD1,11
SS18,11
SSFA2,11
STARD13,11
STK11IP,11
SUGP1,11
SUOX,11
SV2A,11
SYT2,11
SYT9,11
TAF4B,11
TAOK3,11
TARS,11
TARS2,11
TBC1D32,11
TBC1D8B,11
TBL1X,11
TCERG1,11
TCHHL1,11
TDRKH,11
TESK2,11
TFAP2A,11
TGM7,11
THBS2,11
THBS4,11
TMCC1,11
TOX3,11
TPO,11
TRIM28,11
TRIM55,11
TRPC4,11
TRPM4,11
TRPM5,11
TSC1,11
TSHR,11
TTC18,11
TTLL5,11
TTLL7,11
TUBGCP6,11
TYK2,11
TYR,11
UFL1,11
UHRF1BP1,11
USO1,11
USP1,11
USP20,11
USP24,11
USP42,11
USP6,11
VANGL2,11
VAV2,11
VPS53,11
VWA3B,11
VWDE,11
WAC,11
WBP11P1,11
WDPCP,11
WDR13,11
WDR62,11
WDR90,11
WWC2,11
XAB2,11
XPO6,11
YTHDF3,11
ZBED1,11
ZBTB11,11
ZBTB20,11
ZBTB49,11
ZC3H6,11
ZCCHC2,11
ZEB1,11
ZFAT,11
ZNF280C,11
ZNF347,11
ZNF350,11
ZNF415,11
ZNF429,11
ZNF438,11
ZNF565,11
ZNF578,11
ZNF585B,11
ZNF587,11
ZNF609,11
ZNF614,11
ZNF700,11
ZNF714,11
ZNF721,11
ZNF763,11
ZNF827,11
ZNF85,11
ZXDB,11
A1CF,10
ABCB10,10
ABCC6,10
ABTB2,10
ACLY,10
ACSF2,10
ADCY1,10
ADCY3,10
ADORA3,10
AGL,10
AGO3,10
AIFM1,10
AKAP3,10
ALDH1A1,10
ALOXE3,10
ALPK3,10
AMOTL1,10
AMPD3,10
ANGPT1,10
ANKFY1,10
ANKH,10
AP1G1,10
AP4E1,10
APBA1,10
ARHGAP20,10
ARHGAP25,10
ARHGAP6,10
ARHGEF15,10
ARHGEF26,10
ARID4A,10
ARMC3,10
ARMC5,10
ARMCX2,10
ARMCX5,10
ARNT,10
ARSE,10
ATF6,10
ATF7IP,10
ATG7,10
ATP13A1,10
ATP13A5,10
ATP1A2,10
ATP8A2,10
ATP8B1,10
ATRN,10
AXDND1,10
BBS10,10
BICD1,10
BMPR1B,10
BRPF3,10
BTAF1,10
BTN3A3,10
BTNL8,10
BUB1,10
C12orf40,10
C16orf62,10
C19orf44,10
C1orf112,10
C2,10
C3orf30,10
C4BPA,10
CA14,10
CABP5,10
CACNA2D4,10
CAPN2,10
CARNS1,10
CASS4,10
CATSPERD,10
CATSPERG,10
CCDC102B,10
CCDC135,10
CCDC141,10
CCDC170,10
CCDC40,10
CCDC62,10
CCDC73,10
CCR2,10
CCT6B,10
CD46,10
CDC14A,10
CDC73,10
CDCP1,10
CDH11,10
CDHR3,10
CDK16,10
CES5A,10
CFP,10
CHGB,10
CHN1,10
CHRNA1,10
CHRNB4,10
CILP,10
CLCA1,10
CLCN3,10
CLEC16A,10
CLPX,10
CLSPN,10
CLUH,10
CNDP1,10
CNGA3,10
COL25A1,10
COL8A1,10
COLQ,10
COMP,10
CORO7,10
CPT1A,10
CRAMP1L,10
CRAT,10
CREBRF,10
CRNN,10
CSRNP3,10
CT47B1,10
CTAGE9,10
CTNNA1,10
CWH43,10
CXCR3,10
CYP2C19,10
CYP2D6,10
DAB2IP,10
DALRD3,10
DBH,10
DBN1,10
DCAF7,10
DCLRE1C,10
DCST2,10
DDX27,10
DENND2A,10
DENND4C,10
DENND6A,10
DHX8,10
DKFZP761J1410,10
DLEC1,10
DNAI1,10
DNAJC16,10
DNTT,10
DNTTIP2,10
DPP4,10
DSC2,10
DUSP16,10
DYRK1B,10
DYRK3,10
EBF1,10
EEF1A1,10
EFCAB12,10
EFCAB3,10
EHHADH,10
EIF3A,10
EIF4G1,10
ELAC2,10
ELAVL1,10
ELK1,10
EMC1,10
ENG,10
ENPP1,10
EPB41L5,10
EPC1,10
EPS15,10
ERMAP,10
ETS2,10
EXOC6,10
EXT2,10
EYA1,10
FAM117B,10
FAM214A,10
FAM49B,10
FAM65B,10
FAM65C,10
FAM98A,10
FBLN2,10
FBXL7,10
FBXO18,10
FCAR,10
FCHO1,10
FER1L5,10
FGD2,10
FGF18,10
FHDC1,10
FHOD1,10
FKBP8,10
FMO5,10
FMR1NB,10
FOSB,10
FRMD3,10
FRMD6,10
FRMD7,10
G3BP2,10
GABRG1,10
GABRG2,10
GABRG3,10
GALNTL6,10
GBA2,10
GBP3,10
GCK,10
GDPD4,10
GIGYF2,10
GJA10,10
GJA8,10
GLA,10
GPC2,10
GPNMB,10
GPR113,10
GRB7,10
GRIN2C,10
GRIP1,10
GTSE1,10
GUCY1A2,10
GYG2,10
HAND2,10
HCFC2,10
HCN3,10
HGS,10
HIF3A,10
HIST1H1C,10
HJURP,10
HK1,10
HKR1,10
HNRNPH3,10
HNRNPK,10
HOOK2,10
HS3ST5,10
HS6ST2,10
HSD17B4,10
HSPA8,10
HSPD1,10
HTR2C,10
ICK,10
IGDCC3,10
IGSF22,10
IL18R1,10
IL1R2,10
IL9R,10
ILF2,10
IMPG2,10
INPP5F,10
ISLR2,10
ITGA2,10
ITGA3,10
ITGA6,10
ITGAD,10
ITGAL,10
ITLN2,10
ITPKB,10
ITPKC,10
KANK4,10
KANSL3,10
KBTBD4,10
KCNC1,10
KCNC2,10
KCNH3,10
KCNK2,10
KIAA0226,10
KIAA0754,10
KIAA0907,10
KIAA1107,10
KIAA1462,10
KIAA1468,10
KIAA1522,10
KIAA1551,10
KIF2A,10
KIF3C,10
KIF6,10
KRI1,10
L3MBTL1,10
LAMC2,10
LARP4B,10
LARP7,10
LILRA1,10
LIN9,10
LIPN,10
LMAN1L,10
LPCAT1,10
LPHN1,10
LRIF1,10
LRRC8A,10
LRRFIP1,10
LRRN1,10
LRRTM4,10
LRSAM1,10
MAATS1,10
MAD1L1,10
MAGEA11,10
MAGEB1,10
MAML3,10
MAN1A1,10
MAN2A2,10
MAN2B1,10
MAP1B,10
MAP3K10,10
MAP4K1,10
MAP7,10
MAPK10,10
MAPK8IP3,10
MAPT,10
MARCO,10
MAVS,10
MBTD1,10
MCC,10
MCM4,10
MECP2,10
MFSD11,10
MGAT5,10
MLLT6,10
MMP9,10
MMS19,10
MNDA,10
MOCOS,10
MROH1,10
MSH6,10
MSL3,10
MTBP,10
MTIF2,10
MTMR8,10
MYO5C,10
MYOCD,10
NAT10,10
NBEAL2,10
NCF2,10
NCOA5,10
NECAB1,10
NEFM,10
NEK8,10
NEK9,10
NELFCD,10
NEMF,10
NETO1,10
NFATC3,10
NFE2L2,10
NFRKB,10
NHSL1,10
NLRP13,10
NME7,10
NOD2,10
NOL6,10
NOTCH1,10
NPR2,10
NR5A2,10
NT5C1B,10
NUFIP1,10
NUP133,10
NUTM2F,10
OAS3,10
OPN4,10
OR14C36,10
OR2L13,10
OR2L2,10
OR2T2,10
OR2T34,10
OR4A15,10
OR4M1,10
OR4S2,10
OR5L1,10
OSBPL10,10
OSBPL1A,10
OSBPL5,10
OSMR,10
P2RY10,10
P2RY13,10
PAK2,10
PARK2,10
PASD1,10
PAX5,10
PCDH17,10
PCDHA3,10
PCDHA7,10
PCDHB10,10
PCDHGA4,10
PCDHGB7,10
PCK2,10
PCM1,10
PCSK1,10
PDE5A,10
PDE6A,10
PDGFRB,10
PDZRN3,10
PER3,10
PFKFB2,10
PFKM,10
PHACTR2,10
PHACTR4,10
PHF20,10
PHLPP1,10
PHTF2,10
PIK3C3,10
PIK3CD,10
PIK3R3,10
PIPSL,10
PJA2,10
PKLR,10
PKP1,10
PLEKHA5,10
PLOD2,10
PLS3,10
PLVAP,10
PLXNB1,10
PMEL,10
PMEPA1,10
PNMA3,10
PNPLA6,10
POLG,10
POLR3GL,10
POM121L2,10
POP1,10
POTEC,10
POU3F4,10
POU6F2,10
PPARGC1B,10
PPIP5K2,10
PPM1B,10
PPOX,10
PPP1R15B,10
PPP2R5D,10
PPP4R4,10
PRDM14,10
PRKD2,10
PROSER1,10
PRPF40A,10
PRRX1,10
PRSS12,10
PSG7,10
PTBP1,10
PTK2B,10
PTPRE,10
PTPRK,10
PUM1,10
RAB13,10
RABEP1,10
RABEP2,10
RABGAP1,10
RAD54L,10
RAF1,10
RANBP17,10
RANBP3,10
RBM19,10
RBM44,10
RBMS3,10
RC3H2,10
REC8,10
RGP1,10
RHBDF2,10
RIN2,10
RNF17,10
RNF32,10
RNF40,10
RPGRIP1,10
RPS6,10
RPS6KC1,10
RSBN1,10
RUSC1,10
SAMD4A,10
SAMHD1,10
SARDH,10
SATL1,10
SCIN,10
SCMH1,10
SCML2,10
SCYL2,10
SEC31B,10
SEMA3C,10
SEMA6D,10
SEPT8,10
SERPINA1,10
SEZ6,10
SEZ6L,10
SF1,10
SF3B3,10
SFMBT2,10
SFSWAP,10
SH3RF1,10
SHC1,10
SHE,10
SHISA9,10
SIDT1,10
SIGLEC7,10
SIRPB1,10
SLC12A2,10
SLC16A2,10
SLC16A6,10
SLC17A6,10
SLC22A25,10
SLC24A3,10
SLC39A12,10
SLC43A1,10
SLC45A2,10
SLC5A5,10
SLC5A6,10
SLC6A13,10
SLC6A19,10
SLC6A4,10
SLC6A5,10
SLC7A9,10
SLCO1B3,10
SLFN14,10
SLITRK5,10
SMARCA5,10
SMC5,10
SMG7,10
SMTN,10
SNX13,10
SNX25,10
SP4,10
SPATA13,10
SPG20,10
SPPL3,10
SPRED1,10
SRPK1,10
SRRM4,10
SSH3,10
SSTR4,10
ST6GAL2,10
STAT2,10
STAT5A,10
STAT5B,10
STAT6,10
STOX2,10
SUGP2,10
SUSD4,10
SUSD5,10
SUZ12,10
SVOP,10
SYDE2,10
SYNCRIP,10
SYTL2,10
SYTL4,10
TAF4,10
TAOK1,10
TBC1D15,10
TBCD,10
TBX22,10
TCEB3B,10
TCF12,10
TECPR2,10
TFAP2B,10
TFE3,10
TGFBR3,10
TGM1,10
THEMIS,10
THNSL2,10
THRAP3,10
THSD4,10
TLE2,10
TLE6,10
TLR3,10
TLR8,10
TM7SF3,10
TMCC3,10
TMCO4,10
TMEM57,10
TMPRSS7,10
TMTC2,10
TNFAIP3,10
TNPO3,10
TP63,10
TPCN1,10
TPP2,10
TRAK1,10
TRAPPC10,10
TRIM21,10
TRIM23,10
TRIM37,10
TRIM67,10
TRIM77,10
TRIML1,10
TRPC4AP,10
TRPM7,10
TSEN54,10
TTBK1,10
TTC29,10
TTC37,10
TTLL6,10
UBE4A,10
UBR1,10
UBR7,10
UBTF,10
UGT8,10
UNC13D,10
UNC5B,10
URB2,10
USP11,10
USP28,10
USP29,10
USP7,10
VAC14,10
VANGL1,10
VCAM1,10
VCL,10
VPS41,10
VSIG4,10
WNT7A,10
ZC3H7B,10
ZDHHC11,10
ZDHHC15,10
ZFP30,10
ZHX3,10
ZIM3,10
ZMIZ1,10
ZNF112,10
ZNF131,10
ZNF135,10
ZNF142,10
ZNF175,10
ZNF224,10
ZNF225,10
ZNF229,10
ZNF251,10
ZNF267,10
ZNF268,10
ZNF28,10
ZNF335,10
ZNF365,10
ZNF473,10
ZNF518B,10
ZNF525,10
ZNF527,10
ZNF548,10
ZNF582,10
ZNF606,10
ZNF619,10
ZNF623,10
ZNF629,10
ZNF665,10
ZNF710,10
ZNF716,10
ZNF75D,10
ZNF780B,10
ZNF800,10
ZNF814,10
ZNF835,10
ZNF845,10
ZNF90,10
ZSCAN12,10
AARS2,9
ABCA11P,9
ABCB7,9
ABCG1,9
ABL1,9
ABRA,9
ACAD10,9
ACER3,9
ACRBP,9
ACSM5,9
ADAM21,9
ADAM23,9
ADAMDEC1,9
ADARB2,9
AEBP1,9
AGAP1,9
AGBL2,9
AGFG2,9
AGO4,9
AK5,9
AKAP17A,9
AKT3,9
ALDH18A1,9
ALDH8A1,9
ALG13,9
ALOX12,9
AMBN,9
AMER3,9
AMOT,9
ANAPC7,9
ANKRD24,9
ANKRD6,9
AP1M2,9
APLF,9
APLP1,9
AQPEP,9
ARAP2,9
ARHGAP17,9
ARHGEF12,9
ARHGEF28,9
ARHGEF33,9
ARID5B,9
ARSF,9
ASNS,9
ATHL1,9
ATP12A,9
ATP13A3,9
ATP1A1,9
ATP2A2,9
ATXN7,9
AVPR1B,9
AXIN1,9
AXIN2,9
BAI1,9
BCAR1,9
BCL11B,9
BCL9L,9
BCMO1,9
BMX,9
BOC,9
BRD4,9
BRD9,9
BRF1,9
BRINP2,9
BROX,9
BTBD3,9
BTBD7,9
BTNL3,9
BTRC,9
C10orf90,9
C1orf116,9
C2CD5,9
C3orf20,9
C7orf55-LUC7L2,9
C7orf63,9
C9orf3,9
CABYR,9
CADM1,9
CAPN1,9
CARD14,9
CASKIN2,9
CASQ2,9
CAV1,9
CCDC110,9
CCDC120,9
CCDC138,9
CCDC155,9
CCDC178,9
CCDC22,9
CCDC57,9
CCP110,9
CCSER2,9
CCT2,9
CD19,9
CD1A,9
CD1B,9
CD200R1L,9
CD209,9
CD33,9
CD93,9
CD97,9
CDADC1,9
CDCA2,9
CDK11A,9
CDK5RAP1,9
CEP112,9
CEP120,9
CEP72,9
CERKL,9
CHL1,9
CHML,9
CHRM2,9
CIC,9
CIITA,9
CKAP2,9
CKMT2,9
CLMN,9
CLTCL1,9
CNBD1,9
CNGA2,9
CNGA4,9
CNTN5,9
COBL,9
COG1,9
COG5,9
COL11A2,9
COPB2,9
CPN2,9
CPNE5,9
CPNE8,9
CROT,9
CRTAC1,9
CRTC2,9
CSDE1,9
CSF2RB,9
CSNK1A1,9
CTAGE1,9
CTR9,9
CUL4A,9
CXorf23,9
CXorf67,9
CYLC1,9
CYLD,9
CYP2A7,9
CYP2B6,9
CYP2S1,9
CYTH4,9
DAP3,9
DARS2,9
DCAF8,9
DCX,9
DDX11,9
DDX4,9
DDX43,9
DDX60,9
DENND1B,9
DENND4A,9
DHTKD1,9
DHX30,9
DHX38,9
DIAPH3,9
DKC1,9
DLL1,9
DNAJB13,9
DNAJC14,9
DPH2,9
DPP8,9
DPY19L4,9
DPYD,9
DPYSL3,9
DSG1,9
DSG4,9
DUSP22,9
EBF3,9
ECM1,9
EEF2,9
EFCAB13,9
EFCAB14,9
EFHB,9
EIF2AK3,9
EIF2B4,9
EIF3L,9
EIF4B,9
EIF4ENIF1,9
ELN,9
EML2,9
EML4,9
ENTHD1,9
ENTPD7,9
EPN1,9
ERAP2,9
ERC2,9
ERCC3,9
ERCC6L2,9
ERG,9
ERV3-1,9
ETV6,9
EXOC1,9
EXOC3,9
EXOC7,9
EXTL3,9
EYA4,9
FAAH,9
FAAH2,9
FADS2,9
FAM127B,9
FAM129A,9
FAM129C,9
FAM13B,9
FAM160B1,9
FAM205A,9
FAM21C,9
FAM65A,9
FAM71A,9
FAM83A,9
FANK1,9
FBXL13,9
FBXW8,9
FCHSD1,9
FERMT3,9
FGF23,9
FGG,9
FHL1,9
FIGF,9
FLI1,9
FLII,9
FLRT3,9
FMNL2,9
FNBP4,9
FOXM1,9
FSD1L,9
