Hugo_Symbol,n
NLGN4X,22
NUP210L,22
PLCH1,22
REV3L,22
SCN1A,22
SCN3A,22
STAB1,22
SZT2,22
TACC2,22
TDRD6,22
TEP1,22
TNRC6B,22
TNXB,22
TRIO,22
UGGT2,22
VCAN,22
WDR44,22
YLPM1,22
ABCB1,21
ADCY10,21
ANKRD17,21
ANKRD26,21
ARHGAP31,21
ATP7A,21
BRINP1,21
C1orf173,21
C2orf71,21
CACNA1S,21
CENPF,21
CFTR,21
COL11A1,21
COL4A6,21
COL5A1,21
CSPP1,21
DLC1,21
DSP,21
GCN1L1,21
HEATR1,21
HECW2,21
IGF2R,21
ITGAX,21
KCNB2,21
KDM5B,21
KIAA0947,21
KIF16B,21
KIF1B,21
LAMB1,21
MADD,21
MAP3K4,21
MED13,21
MED23,21
MYH14,21
MYH6,21
NEDD9,21
NOS1,21
NPHP4,21
PCDHB7,21
PIEZO2,21
PLCB4,21
RGAG1,21
RLF,21
SCN11A,21
SCN9A,21
SEC16B,21
SIPA1L3,21
SLIT2,21
SON,21
SPTBN2,21
SVIL,21
TAB3,21
TECTA,21
TNC,21
TNR,21
TNRC6A,21
TRAPPC9,21
TRPM3,21
TRPS1,21
UNC13A,21
UTP20,21
WDR52,21
XRN1,21
ZFC3H1,21
ZNF208,21
ADCY9,20
AGBL1,20
AKAP13,20
ANKRD12,20
APC,20
ARHGAP29,20
ATP1A4,20
BCORL1,20
CACNA1G,20
CASP8,20
CCDC144A,20
CCDC168,20
CD163L1,20
CNTN1,20
CNTN4,20
COL19A1,20
COL4A4,20
COL7A1,20
DLG1,20
DMBT1,20
DOCK9,20
FBN2,20
FCRL5,20
GREB1,20
GREB1L,20
GRIK1,20
GRIK2,20
GUCY2C,20
IGSF1,20
KIAA0430,20
MTUS2,20
NAV1,20
NHS,20
NRXN3,20
OTOF,20
PMFBP1,20
PTPRF,20
PTPRQ,20
PTPRZ1,20
RAD54B,20
RASGRF1,20
RBBP6,20
RGPD3,20
SDK2,20
SPAG17,20
SPTBN4,20
SRGAP1,20
ST18,20
STAB2,20
SYBU,20
TANC2,20
TJP1,20
TNIK,20
TNN,20
TP53BP1,20
UNC80,20
USP32,20
WDR17,20
WWC3,20
WWP2,20
ZP4,20
ABCA3,19
ABCA6,19
ANKRD36,19
ARID2,19
ARID4B,19
ASCC3,19
ATAD2B,19
BAZ2A,19
BDP1,19
BLM,19
CAD,19
CADPS,19
CAMSAP1,19
CDH10,19
CNTLN,19
CNTNAP2,19
COL18A1,19
COL5A3,19
CPED1,19
CPS1,19
CTNNA2,19
DCHS1,19
DENND4B,19
DGKG,19
DIP2A,19
DISP1,19
DNM3,19
DOCK7,19
EHMT1,19
FANCD2,19
FBXW7,19
FHOD3,19
FMR1,19
FOCAD,19
GRIA1,19
GRID1,19
GTF3C1,19
HDAC6,19
HECTD1,19
HEG1,19
HIVEP3,19
IARS,19
KIAA1432,19
KIAA2018,19
KIF13A,19
KIF21B,19
LRP12,19
LRRC16B,19
MAGEA12,19
MAGI2,19
MYO18A,19
NRK,19
NUP160,19
PIKFYVE,19
PKD1,19
PLXNA3,19
PRKCB,19
PRRC2C,19
PTPRT,19
RAB11FIP1,19
RAB3GAP2,19
RBFOX1,19
RBMXL3,19
RIMS1,19
RPTOR,19
SAGE1,19
SHROOM2,19
SLC4A4,19
SMARCA4,19
SRGAP2,19
STAT4,19
TBC1D4,19
THADA,19
TLR4,19
TLR7,19
TMEM131,19
TNKS1BP1,19
TRANK1,19
TRPC5,19
TRPM2,19
TSHZ2,19
UBR2,19
VCPIP1,19
WDR87,19
WSCD2,19
ABI3BP,18
ADCY8,18
ADNP,18
AFF3,18
AKAP12,18
ASXL1,18
ATP11A,18
ATP11C,18
ATP13A4,18
ATP9A,18
BCAS1,18
C20orf26,18
C2CD3,18
CAMSAP2,18
CDH9,18
CELSR1,18
CNTN6,18
CNTNAP3,18
COL1A2,18
COL4A3,18
CPSF1,18
DIAPH2,18
DIP2C,18
DNMT1,18
DOCK5,18
DOPEY1,18
DPP10,18
EP400,18
EPPK1,18
FMN1,18
FNDC1,18
GPR116,18
GPR158,18
GRIA4,18
GRM3,18
HCFC1,18
HTATSF1,18
IKBKE,18
INSRR,18
INTS1,18
ITIH6,18
KIAA0232,18
KIAA1009,18
LAMA5,18
LPA,18
LRRC7,18
LTBP1,18
LTBP2,18
MAP4K4,18
MCTP2,18
MED13L,18
MORC1,18
MRC2,18
MUC2,18
MYH15,18
MYH2,18
MYO15A,18
MYO9A,18
NCOA3,18
NLGN3,18
NLRC5,18
NLRP2,18
NLRP7,18
NRXN2,18
NSD1,18
NUP188,18
NUP98,18
PCNX,18
PKD1L2,18
POGZ,18
POLE,18
POLQ,18
PPP1R9A,18
PRKG2,18
PRRC2B,18
RALGAPA1,18
RALGAPA2,18
RB1CC1,18
RIF1,18
RTL1,18
SALL1,18
SEMA5A,18
SETDB1,18
SHANK1,18
SMARCC1,18
SMC1A,18
SNCAIP,18
SORBS2,18
SPEG,18
SPTAN1,18
SPTBN1,18
STAG1,18
SUCO,18
SUPT5H,18
TBC1D8,18
TEK,18
TET3,18
TEX14,18
TMEM132C,18
TMPRSS15,18
TPTE,18
TRIP11,18
UHRF1BP1L,18
VPRBP,18
ZMYM2,18
ZMYM3,18
ZNF592,18
ZNF648,18
ZSWIM8,18
AAK1,17
ABCA4,17
ABCB11,17
ACE,17
ADAMTS16,17
ADAMTS9,17
ANKRD30B,17
ANO4,17
ASXL2,17
ATAD2,17
ATG2A,17
ATP10A,17
ATP2A1,17
ATR,17
ATXN2,17
BAI3,17
BCOR,17
C5,17
CADPS2,17
CARD11,17
CASR,17
CCNB3,17
CDH26,17
CDK12,17
CDK5RAP2,17
CECR2,17
CLIP1,17
COL4A1,17
COL4A2,17
CTNND2,17
CUL7,17
CXorf22,17
CYFIP1,17
DACH2,17
DCDC1,17
DEPDC5,17
DOCK2,17
EEA1,17
EPHA5,17
ERCC6,17
EXPH5,17
FAM171A1,17
FAM186A,17
FAM208B,17
FCRL3,17
FGD6,17
FGFR2,17
FMO1,17
FRYL,17
FTSJ3,17
GLI3,17
GPRASP2,17
GRIPAP1,17
HIST1H3B,17
IFI16,17
IFT122,17
IGF1R,17
IQGAP3,17
IREB2,17
IRS4,17
ITGA10,17
KCNQ3,17
KDM5A,17
KIAA0100,17
KIAA1244,17
KIRREL,17
KMT2B,17
LAMB3,17
LAMC1,17
LRRIQ1,17
LRRK1,17
MAP3K5,17
MASP1,17
MAST1,17
MCM3AP,17
MLH3,17
MMRN1,17
MYO5A,17
MYOM1,17
MYOM3,17
MYT1L,17
NEDD4L,17
NES,17
NLRP1,17
NLRP11,17
NLRP3,17
NRCAM,17
NWD1,17
OPRM1,17
PARP1,17
PCDHB12,17
PCDHB2,17
PCDHGA1,17
PDE3A,17
PHIP,17
PIK3C2B,17
PKDREJ,17
PLCL2,17
PLG,17
POLR1A,17
PPP1R3A,17
PTCHD1,17
PTPN13,17
PZP,17
QRICH2,17
RGS9,17
RICTOR,17
ROBO1,17
SBF2,17
SEMA6A,17
SH3PXD2A,17
SLC12A5,17
SMCHD1,17
SPATA31D5P,17
SPEF2,17
SUV420H1,17
SYMPK,17
TANC1,17
TBC1D31,17
TEC,17
TET2,17
THOC2,17
TIAM2,17
TOPAZ1,17
TP53BP2,17
TRHDE,17
TSPEAR,17
TTC21A,17
UBA1,17
VWA3A,17
WHSC1L1,17
XKR4,17
XPO1,17
ZNF217,17
ZNF407,17
ZNF687,17
ZNFX1,17
A2M,16
ABCB4,16
ABCC1,16
ABCC12,16
ACACB,16
ACTN4,16
ADAM19,16
ADAMTS17,16
ADAMTS2,16
ADAMTS7,16
AFF1,16
AKAP11,16
AKAP4,16
ALK,16
AMBRA1,16
AMPD1,16
ANKRD36C,16
ARHGAP21,16
BCL9,16
BCLAF1,16
BNC2,16
CASP8AP2,16
CBLB,16
CCDC88A,16
CDC42BPB,16
CDH8,16
CELSR2,16
CELSR3,16
CHD2,16
CKAP5,16
CLCN4,16
CLTC,16
CNKSR2,16
COL5A2,16
COPA,16
CRNKL1,16
CUL4B,16
CUX1,16
CYP2A13,16
DAAM2,16
DENND5B,16
DGKD,16
DMGDH,16
DOCK1,16
DOCK3,16
EPHA7,16
EVPL,16
FAM47B,16
FGD5,16
GFPT2,16
GIMAP8,16
GOLGA4,16
GPRASP1,16
GRID2,16
GRM1,16
HEPH,16
HNRNPU,16
IDS,16
IL1RAP,16
INADL,16
IPO8,16
KCNH2,16
KIAA0319,16
KIAA1429,16
KIAA2026,16
KIF14,16
KIF5C,16
KLHL1,16
L1CAM,16
LAMB2,16
LDB2,16
LINGO2,16
LPAL2,16
LPP,16
LRRC16A,16
MAP3K13,16
MARK1,16
MAST4,16
MBD5,16
MECOM,16
MFI2,16
MICAL2,16
MLK4,16
MROH9,16
MUC6,16
MYOF,16
NCL,16
NHSL2,16
NINL,16
NLRC4,16
NOTCH3,16
NRXN1,16
NTRK2,16
NXF1,16
PCDHA1,16
PCDHAC1,16
PCDHGA3,16
PHF3,16
PLEKHH2,16
PLXNA1,16
PLXNB3,16
POTEH,16
PPFIA1,16
PRDM10,16
PREX1,16
PTPRC,16
PTPRG,16
PTPRM,16
PXDN,16
RASAL2,16
RERE,16
RFX6,16
RGS7,16
ROBO2,16
RP1L1,16
RPS6KA3,16
RPTN,16
RTTN,16
SAMD9,16
SCAF4,16
SH3KBP1,16
SLC4A2,16
SLC4A5,16
SLCO1C1,16
SLCO2A1,16
SMARCA2,16
SORCS1,16
SOX6,16
SULF2,16
SUPT6H,16
SYCP2,16
TCF4,16
TGS1,16
TMC2,16
TNRC18,16
TNRC6C,16
TRERF1,16
